fid;LimesLimit_ID;HCLASS;element;Totals_1500m_Nb_num;Totals_1500m_Nb_mean;Totals_1500m_Nb_sd;Palaeogeography_ID;Palaeogeography_Area;Palaeogeography_simplified
"1";1;3;high floodplain;"3";5.33333333333333;"0.577350269189628";"11";257.74600000000;floodplain
"2";2;7;fluvial terraces;"2";5;"0";"32";351.08200000000;fluvial terraces
"3";3;5;fluvial terraces;"1";3;#DIV/0!;"32";351.08200000000;fluvial terraces
"4";4;5;coversands;"2";4.5;"2.1213203435596424";"28";1532.04000000000;Pleistocene sands
"5";6;6;coversands;"3";4.66666666666667;"1.5275252316519474";"28";1532.04000000000;Pleistocene sands
"6";7;6;fluvial terraces;"1";6;#DIV/0!;"32";351.08200000000;fluvial terraces
"7";10;5;fluvial terraces;"3";5.33333333333333;"1.5275252316519474";"32";351.08200000000;fluvial terraces
"8";18;5;fluvial terraces;"2";6.5;"0.70710678118654757";"32";351.08200000000;fluvial terraces
"9";20;5;fluvial terraces;"1";4;#DIV/0!;"32";351.08200000000;fluvial terraces
"10";21;7;fluvial terraces;"4";3.75;"3.2015621187164243";"32";351.08200000000;fluvial terraces
"11";24;4;fluvial terraces;"2";5;"0";"32";351.08200000000;fluvial terraces
"12";25;5;fluvial terraces;"3";5.33333333333333;"1.5275252316519474";"32";351.08200000000;fluvial terraces
"13";31;5;high floodplain;;;;"11";257.74600000000;floodplain
"14";33;6;coversands;"1";3;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"15";34;3;coversands;"1";6;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"16";35;4;moderately high natural levee;"2";3;"2.8284271247461903";"4";612.23400000000;high natural levee
"17";36;1;moderately high natural levee;"2";4.5;"0.70710678118654757";"4";612.23400000000;high natural levee
"18";37;5;river dunes;"4";2.5;"1.2909944487358056";"31";10.53170000000;high natural levee
"19";38;3;river dunes;"4";3.75;"1.5";"31";10.53170000000;high natural levee
"20";39;2;river dunes;"5";4.2;"1.0954451150103319";"31";10.53170000000;high natural levee
"21";40;5;river dunes;"7";2.85714285714286;"1.3451854182690983";"31";10.53170000000;high natural levee
"22";41;1;low natural levee;"4";4;"1.4142135623730951";"7";628.67200000000;low natural levee
"23";42;2;moderately high natural levee;"2";1.5;"0.70710678118654757";"4";612.23400000000;high natural levee
"24";43;4;coversands;"1";4;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"25";44;4;coversands;"1";4;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"26";45;4;coversands;"1";3;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"27";47;3;coversands;"2";3.5;"2.1213203435596424";"28";1532.04000000000;Pleistocene sands
"28";48;5;coversands;"2";2.5;"0.70710678118654757";"28";1532.04000000000;Pleistocene sands
"29";49;4;coversands;"1";4;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"30";50;4;coversands;"1";4;#DIV/0!;"28";1532.04000000000;Pleistocene sands
"31";52;3;fluvial terraces;"4";2.5;"2.3804761428476167";"32";351.08200000000;fluvial terraces
"32";53;1;fluvial terraces;"2";4.5;"2.1213203435596424";"32";351.08200000000;fluvial terraces
"33";54;6;fluvial terraces;"5";2.4;"1.6733200530681511";"32";351.08200000000;fluvial terraces
"34";55;1;coversands;"5";4;"1.5811388300841898";"28";1532.04000000000;Pleistocene sands
"35";57;4;coversands;"5";3;"1.5811388300841898";"28";1532.04000000000;Pleistocene sands
"36";58;3;fluvial terraces;"4";4;"0.81649658092772603";"32";351.08200000000;fluvial terraces
"37";59;4;fluvial terraces;"4";3.5;"0.57735026918962573";"32";351.08200000000;fluvial terraces
"38";60;2;fluvial terraces;"5";3.8;"1.9235384061671343";"32";351.08200000000;fluvial terraces
"39";61;5;fluvial terraces;"5";3.2;"1.9235384061671343";"32";351.08200000000;fluvial terraces
"40";63;3;moderately high natural levee;"5";3.4;"1.5165750888103104";"4";612.23400000000;high natural levee
"41";65;2;river dunes;"7";3.71428571428571;"1.4960264830861913";"31";10.53170000000;high natural levee
"42";66;1;river dunes;"4";3.25;"1.2583057392117916";"31";10.53170000000;high natural levee
"43";67;5;low natural levee;"8";2.875;"1.2464234547582249";"7";628.67200000000;low natural levee
"44";68;4;low natural levee;"7";3;"1.5275252316519468";"7";628.67200000000;low natural levee
"45";69;3;moderately high natural levee;"8";3.375;"1.407885953173359";"4";612.23400000000;high natural levee
"46";70;4;low natural levee;"5";3.6;"0.8944271909999163";"7";628.67200000000;low natural levee
"47";72;5;moderately high natural levee;"8";2.875;"1.1259916264596033";"4";612.23400000000;high natural levee
"48";73;3;low natural levee;"9";3.44444444444444;"1.9436506316151003";"7";628.67200000000;low natural levee
"49";74;4;low natural levee;"7";3.42857142857143;"2.0701966780270622";"7";628.67200000000;low natural levee
"50";75;7;moderately high natural levee;"7";2.42857142857143;"0.97590007294853331";"4";612.23400000000;high natural levee
"51";76;2;low natural levee;"6";3.16666666666667;"2.1369760566432809";"7";628.67200000000;low natural levee
"52";77;3;low natural levee;"8";2.625;"1.8468119248354136";"7";628.67200000000;low natural levee
"53";79;6;low natural levee;"2";4.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"54";80;4;low natural levee;"2";5.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"55";82;5;river dunes;"5";4.4;"1.1401754250991383";"31";10.53170000000;high natural levee
"56";83;4;low natural levee;"5";3.2;"1.7888543819998315";"7";628.67200000000;low natural levee
"57";84;3;low natural levee;"4";4;"1.4142135623730951";"7";628.67200000000;low natural levee
"58";86;5;low natural levee;"4";3.25;"1.707825127659933";"7";628.67200000000;low natural levee
"59";88;2;low natural levee;"2";2.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"60";90;3;fluvial terraces;"5";3.6;"1.1401754250991383";"32";351.08200000000;fluvial terraces
"61";91;2;fluvial terraces;"3";2.66666666666667;"1.5275252316519468";"32";351.08200000000;fluvial terraces
"62";92;3;fluvial terraces;;;;"32";351.08200000000;fluvial terraces
"63";93;3;high floodplain;"3";4.33333333333333;"1.154700538379251";"11";257.74600000000;floodplain
"64";95;5;low floodplain;"3";3.66666666666667;"1.154700538379251";"12";958.21900000000;floodplain
"65";96;5;low floodplain;"4";3.5;"1";"12";958.21900000000;floodplain
"66";97;3;coversands;"3";4.33333333333333;"1.154700538379251";"28";1532.04000000000;Pleistocene sands
"67";99;5;low floodplain;"1";3;#DIV/0!;"12";958.21900000000;floodplain
"68";100;3;low floodplain;"2";5;"0";"12";958.21900000000;floodplain
"69";101;4;high floodplain;;;;"11";257.74600000000;floodplain
"70";102;4;moderately high natural levee;"2";3;"2.8284271247461903";"4";612.23400000000;high natural levee
"71";103;1;moderately high natural levee;"1";4;#DIV/0!;"4";612.23400000000;high natural levee
"72";104;5;moderately high natural levee;"4";3;"1.8257418583505538";"4";612.23400000000;high natural levee
"73";105;5;low natural levee;"1";5;#DIV/0!;"7";628.67200000000;low natural levee
"74";106;2;moderately high natural levee;"2";3;"2.8284271247461903";"4";612.23400000000;high natural levee
"75";109;3;moderately high natural levee;"1";5;#DIV/0!;"4";612.23400000000;high natural levee
"76";110;7;high floodplain;"11";4.63636363636364;"1.8586407545691699";"11";257.74600000000;floodplain
"77";111;7;moderately high natural levee (uncertain);"8";4.875;"2.1001700611413079";"5";174.49300000000;high natural levee
"78";112;6;moderately high natural levee (uncertain);"7";5;"2.3804761428476167";"5";174.49300000000;high natural levee
"79";113;6;moderately high natural levee (uncertain);"8";4.75;"2.0528725518857018";"5";174.49300000000;high natural levee
"80";114;6;moderately high natural levee;"3";3.33333333333333;"2.0816659994661326";"4";612.23400000000;high natural levee
"81";115;4;low natural levee;"3";4;"2.6457513110645907";"7";628.67200000000;low natural levee
"82";116;1;moderately high natural levee;"2";5;"1.4142135623730951";"4";612.23400000000;high natural levee
"83";117;3;low natural levee;"3";2;"1";"7";628.67200000000;low natural levee
"84";118;4;high natural levee;"10";4;"1.699673171197595";"1";30.20850000000;high natural levee
"85";120;4;low natural levee;"1";4;#DIV/0!;"7";628.67200000000;low natural levee
"86";121;1;low natural levee;"5";1.6;"0.89442719099991574";"7";628.67200000000;low natural levee
"87";122;4;moderately high natural levee;"5";3;"2";"4";612.23400000000;high natural levee
"88";124;5;high floodplain;"4";3.25;"2.8722813232690143";"11";257.74600000000;floodplain
"89";125;1;low natural levee;"4";3.5;"3";"7";628.67200000000;low natural levee
"90";126;2;low natural levee (uncertain);"7";1.85714285714286;"1.0690449676496976";"8";69.83340000000;low natural levee
"91";127;1;moderately high natural levee;"6";2.16666666666667;"1.602081978759722";"4";612.23400000000;high natural levee
"92";128;1;moderately high natural levee;"8";2.375;"1.407885953173359";"4";612.23400000000;high natural levee
"93";129;3;high floodplain;"6";2.5;"1.51657508881031";"11";257.74600000000;floodplain
"94";131;4;moderately high natural levee;"10";4.5;"1.0801234497346435";"4";612.23400000000;high natural levee
"95";132;7;moderately high natural levee;"11";4.27272727272727;"0.64666979068286368";"4";612.23400000000;high natural levee
"96";133;4;moderately high natural levee;"5";4.2;"1.3038404810405295";"4";612.23400000000;high natural levee
"97";134;5;moderately high natural levee;"5";5.2;"1.0954451150103335";"4";612.23400000000;high natural levee
"98";136;3;low natural levee;"4";3;"1.6329931618554521";"7";628.67200000000;low natural levee
"99";138;6;moderately high natural levee;"6";3;"1.8973665961010275";"4";612.23400000000;high natural levee
"100";140;3;moderately high natural levee;"7";3.85714285714286;"1.9518001458970666";"4";612.23400000000;high natural levee
"101";142;5;moderately high natural levee;"8";3.875;"1.5526475085202969";"4";612.23400000000;high natural levee
"102";147;1;moderately high natural levee;"6";4;"0.89442719099991586";"4";612.23400000000;high natural levee
"103";148;4;low floodplain;"8";3.5;"1.5118578920369088";"12";958.21900000000;floodplain
"104";150;5;low floodplain (uncertain);"7";3.42857142857143;"2.0701966780270622";"13";330.41500000000;floodplain
"105";152;3;moderately high natural levee;"9";3.33333333333333;"1.7320508075688772";"4";612.23400000000;high natural levee
"106";155;4;moderately high natural levee;"6";3.16666666666667;"1.4719601443879746";"4";612.23400000000;high natural levee
"107";158;3;moderately high natural levee;"8";3.625;"1.8468119248354136";"4";612.23400000000;high natural levee
"108";161;3;moderately high natural levee;"12";3.08333333333333;"1.5642792899510296";"4";612.23400000000;high natural levee
"109";163;5;moderately high natural levee;"7";3.57142857142857;"1.1338934190276813";"4";612.23400000000;high natural levee
"110";169;3;moderately high natural levee;"10";4;"1.699673171197595";"4";612.23400000000;high natural levee
"111";174;2;high natural levee;"10";3.8;"1.4757295747452435";"1";30.20850000000;high natural levee
"112";175;5;moderately high natural levee;"9";3.55555555555556;"1.5898986690282431";"4";612.23400000000;high natural levee
"113";179;6;moderately high natural levee;"11";3.27272727272727;"1.4206272622267315";"4";612.23400000000;high natural levee
"114";181;6;low natural levee;"6";2.83333333333333;"1.3291601358251259";"7";628.67200000000;low natural levee
"115";182;4;low natural levee;"6";4.16666666666667;"1.1690451944500118";"7";628.67200000000;low natural levee
"116";187;6;moderately high natural levee;"1";5;#DIV/0!;"4";612.23400000000;high natural levee
"117";191;3;moderately high natural levee;"5";4.6;"0.8944271909999163";"4";612.23400000000;high natural levee
"118";192;6;moderately high natural levee;"5";4;"0.70710678118654757";"4";612.23400000000;high natural levee
"119";193;5;moderately high natural levee;"7";4.71428571428571;"1.6035674514745457";"4";612.23400000000;high natural levee
"120";195;5;low natural levee;"10";2.6;"1.5776212754932311";"7";628.67200000000;low natural levee
"121";197;2;rivers and streams;"8";3.625;"1.5059406173077154";"0";118.33000000000;water
"122";198;5;low natural levee;"12";2.91666666666667;"1.6213537179739279";"7";628.67200000000;low natural levee
"123";200;3;moderately high natural levee;"6";2;"1.2649110640673518";"4";612.23400000000;high natural levee
"124";202;3;moderately high natural levee;"8";2.375;"1.5059406173077154";"4";612.23400000000;high natural levee
"125";206;4;moderately high natural levee;"9";2.55555555555556;"1.5898986690282426";"4";612.23400000000;high natural levee
"126";208;1;rivers and streams;"13";2.84615384615385;"1.6251232694862383";"0";118.33000000000;water
"127";209;3;moderately high natural levee;"8";3.375;"1.8468119248354136";"4";612.23400000000;high natural levee
"128";210;5;rivers and streams;"6";3.33333333333333;"1.6329931618554518";"0";118.33000000000;water
"129";211;2;low natural levee;"10";3.1;"1.7288403306519922";"7";628.67200000000;low natural levee
"130";216;1;rivers and streams;"13";2.84615384615385;"1.6251232694862383";"0";118.33000000000;water
"131";218;3;moderately high natural levee;"10";3.4;"1.7126976771553508";"4";612.23400000000;high natural levee
"132";219;2;low natural levee;"14";2.78571428571429;"1.7177163475234933";"7";628.67200000000;low natural levee
"133";221;2;high floodplain;"4";2.75;"1.2583057392117916";"11";257.74600000000;floodplain
"134";224;1;low natural levee;"7";3.14285714285714;"1.8644544714716089";"7";628.67200000000;low natural levee
"135";225;1;low natural levee;"7";3.14285714285714;"1.8644544714716089";"7";628.67200000000;low natural levee
"136";227;1;moderately high natural levee;"5";3.4;"1.1401754250991383";"4";612.23400000000;high natural levee
"137";229;4;moderately high natural levee;"8";2.75;"1.9086270308410553";"4";612.23400000000;high natural levee
"138";231;1;low natural levee;"10";3;"1.6329931618554521";"7";628.67200000000;low natural levee
"139";235;3;moderately high natural levee (uncertain);"3";2.33333333333333;"0.57735026918962629";"5";174.49300000000;high natural levee
"140";237;2;low natural levee (uncertain);"1";3;#DIV/0!;"8";69.83340000000;low natural levee
"141";240;6;moderately high natural levee;"4";3.5;"2.0816659994661326";"4";612.23400000000;high natural levee
"142";241;4;moderately high natural levee;"5";5.2;"2.3874672772626648";"4";612.23400000000;high natural levee
"143";242;6;low floodplain;"2";2.5;"2.1213203435596424";"12";958.21900000000;floodplain
"144";244;6;moderately high natural levee;"4";4.5;"2.6457513110645907";"4";612.23400000000;high natural levee
"145";245;4;moderately high natural levee;"4";3.25;"1.707825127659933";"4";612.23400000000;high natural levee
"146";248;3;moderately high natural levee;"9";4.11111111111111;"2.1473497877875207";"4";612.23400000000;high natural levee
"147";251;5;moderately high natural levee;"12";3.83333333333333;"1.8989630344113086";"4";612.23400000000;high natural levee
"148";252;3;moderately high natural levee;"1";1;#DIV/0!;"4";612.23400000000;high natural levee
"149";253;4;high floodplain;"5";3.2;"0.83666002653407512";"11";257.74600000000;floodplain
"150";254;3;low floodplain;"3";4;"1";"12";958.21900000000;floodplain
"151";255;5;high floodplain;"6";3;"1.7888543819998317";"11";257.74600000000;floodplain
"152";257;3;moderately high natural levee;"3";5.33333333333333;"0.57735026918962784";"4";612.23400000000;high natural levee
"153";258;5;moderately high natural levee;"7";2.71428571428571;"1.4960264830861913";"4";612.23400000000;high natural levee
"154";261;5;moderately high natural levee;"4";3;"1.6329931618554521";"4";612.23400000000;high natural levee
"155";271;5;low natural levee;"2";5;"1.4142135623730951";"7";628.67200000000;low natural levee
"156";273;7;moderately high natural levee;"4";5.25;"1.2583057392117916";"4";612.23400000000;high natural levee
"157";276;3;high natural levee;"8";3.75;"1.9820624179302297";"1";30.20850000000;high natural levee
"158";277;3;moderately high natural levee;"10";4;"2.0548046676563256";"4";612.23400000000;high natural levee
"159";278;2;moderately high natural levee;"12";3.91666666666667;"1.8319554050414559";"4";612.23400000000;high natural levee
"160";282;6;moderately high natural levee;"12";3.41666666666667;"1.7298624923456321";"4";612.23400000000;high natural levee
"161";285;5;low natural levee;"12";3.83333333333333;"1.8989630344113086";"7";628.67200000000;low natural levee
"162";289;1;rivers and streams;"1";3;#DIV/0!;"0";118.33000000000;water
"163";290;1;moderately high natural levee;"3";2.66666666666667;"2.0816659994661331";"4";612.23400000000;high natural levee
"164";291;6;moderately high natural levee;"12";3.58333333333333;"1.7816403745544227";"4";612.23400000000;high natural levee
"165";293;1;low natural levee;;;;"7";628.67200000000;low natural levee
"166";294;1;low natural levee;"2";1.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"167";297;5;moderately high natural levee;"5";3.2;"1.3038404810405295";"4";612.23400000000;high natural levee
"168";298;4;low natural levee;"6";3.16666666666667;"1.4719601443879746";"7";628.67200000000;low natural levee
"169";299;4;moderately high natural levee;"7";3.57142857142857;"1.7182493859684487";"4";612.23400000000;high natural levee
"170";300;1;high floodplain;"7";2.14285714285714;"1.8644544714716087";"11";257.74600000000;floodplain
"171";301;3;low natural levee;"5";2.2;"2.16794833886788";"7";628.67200000000;low natural levee
"172";304;3;moderately high natural levee;"12";3.66666666666667;"1.8748737331221839";"4";612.23400000000;high natural levee
"173";307;4;low natural levee;"4";2;"1.4142135623730951";"7";628.67200000000;low natural levee
"174";308;5;low natural levee;"5";3.8;"1.3038404810405295";"7";628.67200000000;low natural levee
"175";310;6;moderately high natural levee;"13";3.53846153846154;"1.713446070320696";"4";612.23400000000;high natural levee
"176";311;2;river dunes;"1";5;#DIV/0!;"31";10.53170000000;high natural levee
"177";312;5;low floodplain;"1";2;#DIV/0!;"12";958.21900000000;floodplain
"178";315;7;low natural levee;"2";5;"1.4142135623730951";"7";628.67200000000;low natural levee
"179";316;5;moderately high natural levee;"10";2.3;"1.4181364924121764";"4";612.23400000000;high natural levee
"180";317;4;low natural levee;"9";4;"1.3228756555322954";"7";628.67200000000;low natural levee
"181";319;2;moderately high natural levee;"7";3.85714285714286;"1.6761634196950517";"4";612.23400000000;high natural levee
"182";320;5;low natural levee;"7";4;"1.4142135623730951";"7";628.67200000000;low natural levee
"183";321;5;high floodplain;"8";4;"1.3093073414159542";"11";257.74600000000;floodplain
"184";323;5;moderately high natural levee;"8";3.125;"1.1259916264596033";"4";612.23400000000;high natural levee
"185";324;4;moderately high natural levee;"6";3.66666666666667;"1.0327955589886442";"4";612.23400000000;high natural levee
"186";325;4;moderately high natural levee;"7";3.28571428571429;"1.3801311186847085";"4";612.23400000000;high natural levee
"187";326;5;low natural levee;"1";3;#DIV/0!;"7";628.67200000000;low natural levee
"188";327;4;moderately high natural levee;"7";3.71428571428571;"0.95118973121134198";"4";612.23400000000;high natural levee
"189";328;4;moderately high natural levee;"7";3.42857142857143;"0.78679579246944253";"4";612.23400000000;high natural levee
"190";329;3;high floodplain;"8";3.75;"0.88640526042791834";"11";257.74600000000;floodplain
"191";330;2;low floodplain;"9";3.77777777777778;"0.66666666666666552";"12";958.21900000000;floodplain
"192";331;6;low floodplain (uncertain);;;;"13";330.41500000000;floodplain
"193";332;2;low natural levee;;;;"7";628.67200000000;low natural levee
"194";333;3;low floodplain;"5";2.2;"1.0954451150103324";"12";958.21900000000;floodplain
"195";334;3;low floodplain (uncertain);"5";2.2;"1.0954451150103324";"13";330.41500000000;floodplain
"196";335;3;high floodplain;"7";2.28571428571429;"1.4960264830861913";"11";257.74600000000;floodplain
"197";336;4;low floodplain;;;;"12";958.21900000000;floodplain
"198";337;3;high floodplain;"9";2;"1";"11";257.74600000000;floodplain
"199";338;5;moderately high natural levee;"2";1;"0";"4";612.23400000000;high natural levee
"200";339;5;moderately high natural levee;"5";2.8;"1.0954451150103319";"4";612.23400000000;high natural levee
"201";340;4;moderately high natural levee;"6";4.33333333333333;"1.9663841605003498";"4";612.23400000000;high natural levee
"202";341;6;moderately high natural levee (uncertain);"7";3.42857142857143;"1.7182493859684487";"5";174.49300000000;high natural levee
"203";342;6;low floodplain (uncertain);"5";3.8;"1.9235384061671343";"13";330.41500000000;floodplain
"204";344;4;high floodplain;"1";3;#DIV/0!;"11";257.74600000000;floodplain
"205";345;1;moderately high natural levee (uncertain);"7";4.14285714285714;"1.5735915849388864";"5";174.49300000000;high natural levee
"206";346;2;low natural levee (uncertain);"2";1;"0";"8";69.83340000000;low natural levee
"207";348;4;low floodplain;;;;"12";958.21900000000;floodplain
"208";349;6;high floodplain;"4";2.75;"0.9574271077563381";"11";257.74600000000;floodplain
"209";350;2;moderately high natural levee;"5";3.6;"1.8165902124584952";"4";612.23400000000;high natural levee
"210";351;3;residual gully;"1";3;#DIV/0!;"9";7.02155000000;other
"211";353;1;moderately high natural levee;"4";3.25;"0.9574271077563381";"4";612.23400000000;high natural levee
"212";354;1;high floodplain;"9";2.22222222222222;"0.97182531580755016";"11";257.74600000000;floodplain
"213";355;1;moderately high natural levee;"10";2.5;"1.2692955176439846";"4";612.23400000000;high natural levee
"214";356;4;moderately high natural levee;"6";4.5;"1.3784048752090221";"4";612.23400000000;high natural levee
"215";357;4;low natural levee;"9";4.88888888888889;"1.3642254619787415";"7";628.67200000000;low natural levee
"216";358;4;moderately high natural levee;"9";4.55555555555556;"1.1303883305208784";"4";612.23400000000;high natural levee
"217";359;3;moderately high natural levee;"11";4.45454545454545;"1.0357254813546262";"4";612.23400000000;high natural levee
"218";360;5;moderately high natural levee;"9";4.44444444444444;"1.1303883305208784";"4";612.23400000000;high natural levee
"219";361;2;moderately high natural levee;"8";3.25;"1.6690459207925603";"4";612.23400000000;high natural levee
"220";362;1;low natural levee;"11";3.72727272727273;"1.4206272622267315";"7";628.67200000000;low natural levee
"221";363;1;moderately high natural levee;"12";4.16666666666667;"1.696699112626596";"4";612.23400000000;high natural levee
"222";364;1;moderately high natural levee;"11";4.09090909090909;"1.7580981459830651";"4";612.23400000000;high natural levee
"223";365;4;moderately high natural levee;"7";4.28571428571429;"1.3801311186847076";"4";612.23400000000;high natural levee
"224";366;5;low natural levee;"4";4;"1.4142135623730951";"7";628.67200000000;low natural levee
"225";367;3;low natural levee;"6";4.33333333333333;"1.0327955589886442";"7";628.67200000000;low natural levee
"226";368;6;moderately high natural levee;"5";4.4;"1.1401754250991383";"4";612.23400000000;high natural levee
"227";369;6;moderately high natural levee;"2";3.5;"3.5355339059327378";"4";612.23400000000;high natural levee
"228";370;6;moderately high natural levee;"4";3.5;"2.0816659994661326";"4";612.23400000000;high natural levee
"229";372;6;low natural levee;"5";4.8;"1.3038404810405295";"7";628.67200000000;low natural levee
"230";373;6;low natural levee;"4";4;"1.6329931618554521";"7";628.67200000000;low natural levee
"231";374;4;low floodplain;"4";4.25;"1.707825127659933";"12";958.21900000000;floodplain
"232";375;5;moderately high natural levee;"2";5;"1.4142135623730951";"4";612.23400000000;high natural levee
"233";376;4;moderately high natural levee;"4";4.5;"2.3804761428476167";"4";612.23400000000;high natural levee
"234";378;5;low natural levee;"3";2.33333333333333;"1.1547005383792517";"7";628.67200000000;low natural levee
"235";379;1;low natural levee;"2";4;"1.4142135623730951";"7";628.67200000000;low natural levee
"236";380;2;low natural levee;"6";4;"2";"7";628.67200000000;low natural levee
"237";381;3;low natural levee;"9";3.55555555555556;"1.7400510848184252";"7";628.67200000000;low natural levee
"238";382;4;low natural levee;"7";3;"0.57735026918962573";"7";628.67200000000;low natural levee
"239";383;3;low natural levee;"6";3.33333333333333;"0.51639777949432131";"7";628.67200000000;low natural levee
"240";384;3;low natural levee;"8";3.25;"1.1649647450214351";"7";628.67200000000;low natural levee
"241";385;3;river dunes;"6";3.33333333333333;"0.51639777949432131";"31";10.53170000000;high natural levee
"242";386;3;low natural levee;"3";4;"1.7320508075688772";"7";628.67200000000;low natural levee
"243";387;6;low natural levee;"1";3;#DIV/0!;"7";628.67200000000;low natural levee
"244";388;5;low natural levee;"2";6;"1.4142135623730951";"7";628.67200000000;low natural levee
"245";389;5;low natural levee;"3";4.66666666666667;"2.5166114784235836";"7";628.67200000000;low natural levee
"246";390;2;low natural levee;"1";5;#DIV/0!;"7";628.67200000000;low natural levee
"247";391;5;low natural levee;"1";4;#DIV/0!;"7";628.67200000000;low natural levee
"248";392;5;low natural levee;"2";4.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"249";393;4;low natural levee;"2";5;"0";"7";628.67200000000;low natural levee
"250";394;3;moderately high natural levee;"4";4.5;"1.9148542155126762";"4";612.23400000000;high natural levee
"251";395;4;low natural levee;"4";4.25;"2.0615528128088303";"7";628.67200000000;low natural levee
"252";396;5;low floodplain;"4";5;"1.4142135623730951";"12";958.21900000000;floodplain
"253";397;6;low floodplain;"2";4;"1.4142135623730951";"12";958.21900000000;floodplain
"254";398;3;low floodplain;"3";5.66666666666667;"0.57735026918962784";"12";958.21900000000;floodplain
"255";879;7;moderately high natural levee;"4";3.25;"1.707825127659933";"4";612.23400000000;high natural levee
"256";880;1;moderately high natural levee;"3";5;"2";"4";612.23400000000;high natural levee
"257";881;4;moderately high natural levee;"4";2.75;"0.9574271077563381";"4";612.23400000000;high natural levee
"258";882;5;moderately high natural levee;"3";5.66666666666667;"1.5275252316519474";"4";612.23400000000;high natural levee
"259";883;3;moderately high natural levee;"3";5.33333333333333;"1.5275252316519474";"4";612.23400000000;high natural levee
"260";884;1;low natural levee;"6";4.5;"1.8708286933869707";"7";628.67200000000;low natural levee
"261";886;4;moderately high natural levee;"2";6.5;"0.70710678118654757";"4";612.23400000000;high natural levee
"262";888;4;low natural levee;"4";3.25;"1.8929694486000912";"7";628.67200000000;low natural levee
"263";889;7;low natural levee;"2";6.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"264";890;2;low natural levee;"6";4.5;"1.8708286933869707";"7";628.67200000000;low natural levee
"265";891;7;low floodplain;"8";4.25;"1.6690459207925603";"12";958.21900000000;floodplain
"266";897;3;moderately high natural levee;;;;"4";612.23400000000;high natural levee
"267";898;3;low natural levee;"4";3.25;"2.0615528128088303";"7";628.67200000000;low natural levee
"268";900;5;moderately high natural levee (uncertain);"4";3;"1.6329931618554521";"5";174.49300000000;high natural levee
"269";901;3;low natural levee;"4";3.5;"1.9148542155126762";"7";628.67200000000;low natural levee
"270";902;5;moderately high natural levee;"5";3.2;"1.4832396974191324";"4";612.23400000000;high natural levee
"271";904;1;high floodplain;"4";4;"1.1547005383792515";"11";257.74600000000;floodplain
"272";1000;6;moderately high natural levee;"5";2.6;"0.8944271909999163";"4";612.23400000000;high natural levee
"273";1002;3;low natural levee;"9";2.77777777777778;"1.3017082793177759";"7";628.67200000000;low natural levee
"274";1003;3;moderately high natural levee;"9";2.77777777777778;"1.3017082793177759";"4";612.23400000000;high natural levee
"275";1004;3;moderately high natural levee;;;;"4";612.23400000000;high natural levee
"276";1005;2;low natural levee;"2";4.5;"0.70710678118654757";"7";628.67200000000;low natural levee
"277";1006;4;moderately high natural levee;"2";2.5;"0.70710678118654757";"4";612.23400000000;high natural levee
"278";1007;4;rivers and streams;"2";3.5;"0.70710678118654757";"0";118.33000000000;water
"279";1008;3;moderately high natural levee;"3";3.66666666666667;"0.57735026918962473";"4";612.23400000000;high natural levee
"280";1009;3;moderately high natural levee;"2";3;"0";"4";612.23400000000;high natural levee
"281";403;6;river dunes;"6";3.83333333333333;"1.4719601443879742";"31";10.53170000000;high natural levee
"282";404;2;river dunes;"5";4;"2.1213203435596424";"31";10.53170000000;high natural levee
"283";406;6;moderately high natural levee;"7";3.71428571428571;"1.7994708216848749";"4";612.23400000000;high natural levee
"284";407;1;moderately high natural levee;"5";4.6;"1.5165750888103104";"4";612.23400000000;high natural levee
"285";408;4;river dunes;"5";3.2;"0.44721359549995715";"31";10.53170000000;high natural levee
"286";410;5;low natural levee;"4";4.25;"2.2173557826083452";"7";628.67200000000;low natural levee
"287";411;5;low natural levee;"6";4.33333333333333;"1.751190071541826";"7";628.67200000000;low natural levee
"288";412;5;moderately high natural levee;"6";3.83333333333333;"1.6020819787597218";"4";612.23400000000;high natural levee
"289";413;5;low natural levee;"6";4.16666666666667;"0.98319208025017457";"7";628.67200000000;low natural levee
"290";414;4;low natural levee;"4";4.5;"1";"7";628.67200000000;low natural levee
"291";415;5;moderately high natural levee;"1";3;#DIV/0!;"4";612.23400000000;high natural levee
"292";416;4;moderately high natural levee;"5";3.6;"1.3416407864998741";"4";612.23400000000;high natural levee
"293";417;2;high floodplain;"14";3.42857142857143;"1.3985864135061354";"11";257.74600000000;floodplain
"294";418;2;low natural levee;"13";3.23076923076923;"1.5358952955766092";"7";628.67200000000;low natural levee
"295";419;2;high floodplain;"11";3.45454545454545;"1.5075567228888178";"11";257.74600000000;floodplain
